squad,possession,games,goals,goals_against_gk,shots_total,shots_on_target_pct,passes_pct_short,passes_pct_medium,passes_pct_long,tackles,tackles_won,dribble_tackles_pct,pressure_regain_pct,blocks,interceptions,touches,dribbles_completed_pct,carries,passes_received_pct,year,league
FC Dallas,51.1,34,46,56,441,32.7,89.0,89.0,62.0,633,411,38.2,28.7,447,542,20782,61.9,13421,85.7,2021,Major League Soccer
Houston Dynamo,45.1,34,34,54,419,33.4,87.1,85.1,58.7,576,356,38.6,28.2,438,513,18286,55.8,11460,83.6,2021,Major League Soccer
Inter Miami,46.2,34,35,53,326,36.2,89.8,88.5,63.4,615,385,35.8,28.0,420,506,18934,55.2,12171,86.3,2021,Major League Soccer
LA Galaxy,54.3,34,47,54,429,33.8,90.4,89.5,65.6,597,382,39.6,27.6,461,483,22456,57.9,15196,88.2,2021,Major League Soccer
Los Angeles FC,49.8,34,51,51,517,33.5,88.5,85.8,55.9,708,428,38.6,30.3,501,651,20661,57.8,13163,84.4,2021,Major League Soccer
Minnesota Utd,50.1,34,41,44,506,27.5,88.1,85.8,60.6,637,431,37.1,30.6,463,528,20592,55.4,13322,85.1,2021,Major League Soccer
Nashville,46.5,34,54,33,454,39.0,87.7,87.3,63.4,583,355,40.2,27.6,421,490,19085,55.9,11963,85.9,2021,Major League Soccer
New England,50.9,34,62,41,497,34.4,87.4,87.6,64.6,597,366,38.1,29.0,498,502,20526,56.5,13008,85.3,2021,Major League Soccer
NY Red Bulls,48.1,34,39,33,490,27.8,83.9,79.7,49.3,716,439,39.3,33.1,595,673,18755,53.3,10410,77.8,2021,Major League Soccer
NYCFC,53.5,34,55,36,512,35.4,88.0,86.9,63.6,630,374,38.0,28.8,439,476,21254,57.3,13277,84.8,2021,Major League Soccer
Orlando City,51.1,34,49,48,397,34.3,89.9,88.7,66.2,569,363,34.8,26.5,444,481,20591,56.4,13203,87.7,2021,Major League Soccer
Philadelphia,48.2,34,45,35,429,34.0,85.3,83.4,61.3,706,449,36.8,30.7,513,576,19043,59.5,11714,81.9,2021,Major League Soccer
Portland Timbers,44.9,34,54,52,440,32.5,88.5,86.2,61.5,635,405,36.2,28.0,514,597,19288,55.7,12116,84.8,2021,Major League Soccer
Real Salt Lake,50.9,34,54,54,454,37.4,88.5,87.4,61.3,543,313,36.1,27.7,484,475,19693,56.2,12508,85.7,2021,Major League Soccer
San Jose,52.6,34,42,54,448,35.0,87.8,88.0,67.3,658,408,36.5,30.3,471,602,19959,57.4,12721,86.2,2021,Major League Soccer
Seattle,48.6,34,53,33,423,35.2,88.3,86.0,60.1,701,445,36.5,30.7,495,526,20260,61.3,12908,85.0,2021,Major League Soccer
Sporting KC,55.0,34,58,40,461,35.4,89.8,91.0,68.8,601,371,37.2,29.7,422,492,23036,55.0,15413,88.4,2021,Major League Soccer
Toronto FC,49.4,34,37,66,348,35.9,90.4,87.0,57.9,532,333,38.3,28.9,450,491,20841,59.7,13596,85.6,2021,Major League Soccer
Vancouver,46.1,34,43,45,344,32.8,87.5,87.1,61.6,593,351,41.2,26.3,521,525,18789,59.2,11831,84.1,2021,Major League Soccer
